#{"t_start": 1763553448.0194247, "env_id": "BipedalWalker-v3"}
r,l,t
-165.194904,641,9.36658
-122.703507,178,10.705591
-101.891878,96,11.413799
-114.863698,74,11.961417
-118.111652,56,12.372397
-128.964069,172,13.665321
-104.72268,1600,62.976298
-117.779039,1600,111.191722
-117.29876,53,111.839339
-100.190309,72,112.429879
-112.779987,47,112.947013
-98.65717,76,113.742795
-113.345869,1600,173.089282
-114.512356,1600,204.992065
-102.190042,1600,278.700904
-105.222029,47,279.092438
-99.281983,87,279.791436
-98.546118,1600,340.755512
-110.179853,69,341.968132
-76.30889,1600,402.93477
-85.290448,1600,483.398149
-74.44675,1600,520.357483
-53.825515,1600,600.049258
-73.233614,1600,668.134545
-45.997801,1600,747.973749
-50.071149,1600,786.622005
-37.298017,1600,866.074252
-33.124176,1600,944.910385
-24.612184,1600,1015.391917
-12.932971,1600,1095.622824
20.03424,1600,1134.026599
-112.153693,56,1134.45813
19.46947,1600,1215.033889
20.233553,1600,1285.533999
-112.216757,74,1298.00948
16.151092,1600,1366.212968
36.665933,1600,1441.579533
9.871832,1600,1474.743935
70.401322,1600,1534.302754
61.303627,1600,1590.313648
77.428646,1600,1647.030669
95.666321,1600,1667.687227
-71.299366,582,1707.24741
22.814627,1433,1731.044399
138.873344,1600,1782.705783
143.376598,1600,1835.79451
-25.316189,888,1847.540016
163.707266,1600,1903.758694
142.598072,1600,1958.60782
164.730122,1600,2017.659369
166.700299,1600,2078.788976
211.051074,1600,2107.149216
1.028129,871,2151.678959
-62.061415,321,2158.498223
204.301143,1600,2216.59797
63.839083,1130,2230.460615
235.047717,1600,2289.069813
253.082606,1594,2343.618193
1.504051,616,2354.236984
255.512268,1541,2417.112258
26.984256,656,2430.413285
251.298179,1574,2487.05099
257.566411,1529,2552.225813
255.898014,1520,2580.134286
264.367381,1386,2639.994243
153.36624,1387,2693.948005
270.423947,1326,2714.490138
267.187622,1338,2768.855549
11.001043,620,2781.273446
-99.872712,74,2781.968796
268.652223,1349,2832.682209
268.021159,1337,2881.663161
275.781833,1248,2905.043113
-72.250189,227,2913.511129
271.046848,1296,2967.020709
269.722006,1311,3020.315626
275.413609,1199,3044.611032
269.665437,1301,3096.224724
281.666004,1143,3149.167666
273.880752,1251,3172.390608
275.249987,1236,3222.3417
275.04389,1248,3246.342533
278.337749,1197,3298.008383
282.614325,1149,3346.305542
108.694728,865,3359.93378
158.399013,1072,3382.087708
278.568375,1172,3435.903333
280.475626,1153,3483.916283
278.970122,1169,3508.341403
279.509069,1180,3560.709899
284.978956,1106,3584.035689
282.333054,1139,3637.386474
282.377344,1114,3654.916767
280.549292,1168,3708.845621
281.036488,1132,3760.874726
287.17351,1070,3785.124335
285.024025,1095,3841.799409
7.370302,466,3846.49271
284.94076,1116,3870.551621
287.454023,1052,3926.756178
282.830669,1137,3953.36517
288.79299,1040,4003.93267
287.578887,1074,4028.089545
285.075878,1078,4085.66771
284.45531,1104,4111.066749
283.562422,1094,4162.843387
282.188673,1155,4220.928088
286.600144,1066,4246.378579
286.78143,1070,4305.284018
285.284631,1063,4322.660909
288.374391,1035,4380.612939
285.726444,1044,4404.626899
287.304434,1046,4451.369699
3.186622,480,4463.114251
175.285417,1058,4488.706849
286.123283,1059,4536.463101
283.600453,1104,4562.290505
284.366745,1081,4615.093533
284.396943,1070,4666.662434
287.841626,1003,4682.760828
288.931313,1021,4738.798428
283.809421,1072,4763.316985
287.638001,1023,4807.649176
285.292945,1059,4830.392035
273.012621,1237,4886.045965
286.649974,1028,4909.494228
50.19208,531,4914.998757
286.674803,1047,4970.570497
282.27246,1071,4993.874064
284.596155,1059,5041.971951
285.745853,1024,5066.390718
287.227395,1015,5122.252087
288.302715,1011,5139.022033
287.887089,999,5198.05894
285.757444,1044,5222.936194
288.356381,991,5273.422808
291.120215,976,5296.619184
-53.646943,205,5331.407671
286.71773,1026,5356.766112
287.4199,997,5410.169378
289.800942,975,5433.093084
288.46117,993,5449.882845
289.067062,968,5504.095356
-54.121902,191,5505.967546
288.158383,990,5560.539376
288.020146,1004,5583.668288
289.8603,980,5600.879615
287.655025,980,5656.977212
288.28675,960,5671.866204
289.576329,977,5728.926039
288.233497,972,5744.792968
287.652712,989,5801.961798
289.47979,955,5818.997656
283.970741,1023,5877.466813
288.134184,983,5901.324823
292.065904,941,5949.657162
287.643734,983,5972.282988
290.389615,948,6020.365442
291.433998,953,6040.364863
95.173953,673,6087.195799
288.970247,960,6102.62954
291.542484,949,6126.301185
291.609266,957,6173.817456
289.101406,967,6196.038035
291.160542,922,6243.494818
290.180416,958,6265.816628
290.315554,959,6321.005622
287.656312,995,6337.977132
290.192887,948,6397.887614
289.845473,947,6412.020611
290.309292,951,6464.683095
291.271947,946,6481.930464
290.007926,957,6541.491823
289.189373,945,6557.540992
289.026313,954,6614.933775
290.885029,963,6630.93565
289.265905,951,6653.142648
289.877141,952,6704.995714
289.808114,937,6727.686169
292.881435,912,6775.705024
289.602836,951,6798.379871
293.397068,918,6848.600034
290.154723,936,6871.627134
288.607875,959,6920.854058
290.218412,937,6944.140807
290.070237,953,6994.009181
291.88568,932,7018.125803
292.070986,921,7034.007367
287.115558,980,7088.438878
288.325713,964,7105.187548
290.386108,941,7161.494359
106.847571,708,7175.272688
292.29288,921,7228.983157
290.304184,941,7245.275204
290.388129,926,7295.236458
290.343331,912,7317.203507
293.232265,905,7333.456125
291.350161,930,7387.757265
289.536327,952,7401.539438
291.106011,927,7455.567375
291.918561,923,7470.204858
291.121314,902,7522.728617
290.110408,931,7538.469584
292.000097,906,7594.634026
293.338503,899,7610.808173
287.709214,946,7668.42753
291.920788,910,7683.423008
288.887714,939,7705.429652
291.156853,909,7754.382487
292.308762,900,7775.29037
289.557696,921,7824.885918
291.546084,889,7840.871353
290.685207,915,7896.019367
292.102444,899,7910.175591
292.981903,899,7965.035736
291.301711,897,7977.973588
-9.849906,336,7988.486864
293.121809,882,8037.858932
292.926521,887,8058.086617
293.366201,889,8073.738189
293.790148,870,8123.519118
292.865152,896,8147.162871
290.442193,904,8199.35779
289.582011,921,8222.334632
289.039785,914,8270.267051
291.921052,892,8289.823338
291.019512,917,8339.447371
291.061236,892,8360.679789
289.793175,911,8374.843272
290.742833,906,8425.840063
289.256167,916,8448.584444
291.418285,889,8499.652219
292.831897,885,8522.067645
291.729511,891,8577.637984
292.198755,892,8602.211545
291.962459,899,8619.288709
293.401529,880,8672.873986
295.301763,862,8695.85836
290.806108,897,8751.466046
295.190018,859,8774.560216
295.372236,858,8826.993424
290.011698,908,8845.386169
293.896229,864,8869.287595
293.10053,878,8923.916311
292.624756,880,8944.327182
293.293079,881,8996.632568
292.514963,883,9014.425406
292.322817,870,9073.748099
292.381984,874,9090.986448
293.550127,870,9115.969617
290.136287,895,9170.358701
292.586463,894,9192.121514
292.613978,881,9245.642512
292.083586,889,9263.050381
295.084345,858,9323.980165
289.79831,892,9340.830553
-43.861062,256,9349.842869
293.65656,868,9401.291773
292.700849,876,9416.513696
292.376551,894,9439.554118
293.097683,862,9491.968647
294.042767,853,9514.25679
291.906973,868,9567.977418
292.303553,866,9584.893506
291.827291,881,9644.841317
294.193909,855,9660.922987
295.288279,836,9677.328148
293.215034,877,9739.706678
291.000101,888,9756.398961
293.693929,869,9814.730462
295.590275,837,9829.962366
35.767797,437,9840.243602
