#{"t_start": 1764151353.2907639, "env_id": "HalfCheetah-v3"}
r,l,t
-28.210978,1000,15.19025
-12.695845,1000,30.450921
-5.611063,1000,48.569252
-0.217368,1000,65.893343
-1.562597,1000,82.393397
-3.664671,1000,95.791964
-2.18707,1000,106.190112
14.338449,1000,121.240746
26.031076,1000,137.665703
49.62464,1000,152.611966
51.787652,1000,188.637072
86.673453,1000,204.603041
124.007961,1000,218.776599
134.304722,1000,230.467422
145.151749,1000,247.145654
308.199479,1000,262.796342
261.006777,1000,278.871114
300.988021,1000,295.296198
405.980922,1000,311.20401
326.200779,1000,326.99053
370.664332,1000,354.906166
405.485999,1000,367.661672
487.857679,1000,382.702305
506.540948,1000,397.951832
359.187542,1000,413.139312
515.794378,1000,428.830337
511.245747,1000,443.813582
592.889284,1000,454.437495
565.037375,1000,470.406405
613.978496,1000,486.047272
600.950385,1000,521.8844
705.041771,1000,537.556472
662.237863,1000,553.373893
770.781614,1000,568.452221
754.450402,1000,583.453735
824.660462,1000,596.574539
857.31375,1000,610.36161
830.812806,1000,626.439915
792.989328,1000,641.655615
839.811407,1000,656.273517
869.894132,1000,686.675925
916.086511,1000,701.582978
886.915034,1000,713.660456
532.583879,1000,729.041657
975.996144,1000,744.409656
931.602169,1000,760.162075
43.984275,1000,776.489455
947.690251,1000,791.809159
971.240406,1000,806.676936
1077.054201,1000,822.325608
1060.732413,1000,853.108077
1148.643048,1000,868.694995
673.704957,1000,884.183705
665.816328,1000,899.562711
1137.151514,1000,910.82631
1183.582835,1000,927.250966
1275.676187,1000,942.361485
1277.868723,1000,957.834628
1286.687665,1000,972.973326
1051.407433,1000,988.458257
1320.014303,1000,1023.519563
1247.506511,1000,1039.319834
1328.061259,1000,1054.994142
188.724791,1000,1067.38228
1469.642323,1000,1081.834225
976.686123,1000,1094.563172
1453.749041,1000,1105.303494
1449.718251,1000,1121.807352
1223.93086,1000,1134.638096
1535.705497,1000,1149.340626
904.773232,1000,1184.062997
1550.931904,1000,1200.124892
1570.732861,1000,1216.378019
1606.468241,1000,1231.46006
1718.093376,1000,1246.118
127.717309,1000,1261.858349
1489.919979,1000,1277.618827
416.423588,1000,1293.123216
1605.518494,1000,1307.778754
1698.964957,1000,1323.502029
818.419916,1000,1353.085941
253.485196,1000,1360.792995
1812.763066,1000,1371.830273
1728.055499,1000,1387.253289
1843.703433,1000,1402.608472
512.432968,1000,1414.089509
1279.012329,1000,1429.051529
1914.324981,1000,1445.386518
