#{"t_start": 1764158614.4166644, "env_id": "BipedalWalker-v3"}
r,l,t
-121.556449,71,8.804938
-104.192041,1600,138.6739
-120.654076,1600,391.107338
-101.131123,1600,610.675204
-102.023639,89,617.822187
-99.956359,1600,841.339468
-108.928617,49,845.067529
-91.33025,1600,1164.593757
-96.203888,1600,1386.144321
-73.978446,1600,1709.25512
-71.467922,1600,1999.294348
-69.030226,1600,2285.404958
-54.689079,1600,2425.208945
-31.693241,1600,2728.091134
-27.9333,1600,3058.06041
-46.275579,1600,3309.498048
-171.930272,740,3395.132056
-98.566698,1600,3663.400916
-84.281403,1600,3904.814388
-76.313828,1600,4152.613469
-71.101479,1600,4431.393465
-45.823282,1600,4584.299817
-9.450087,1600,4796.741107
6.469976,1600,5030.712075
32.25122,1600,5282.883034
-43.020176,1600,5511.610089
12.558073,1600,5668.552274
73.045252,1600,5874.316982
-99.290361,122,5887.450686
130.580308,1600,6091.590877
64.287669,1600,6312.71215
-120.574647,201,6335.665788
-119.449695,91,6347.959696
-51.293231,1600,6520.811547
-93.214719,102,6530.287505
-27.477684,810,6615.390821
72.569398,1600,6877.249682
-65.787972,432,6917.417369
-6.409318,1080,7126.026993
115.070975,1600,7416.836517
153.628022,1600,7687.651357
170.475721,1600,7949.972678
39.152375,1295,8207.121636
-91.731311,114,8217.787651
176.851574,1600,8551.04619
199.178246,1600,8833.132997
237.834966,1600,9102.4377
-48.875179,483,9240.086015
238.336891,1600,9460.846222
234.356697,1600,9788.940573
-21.16705,1080,9993.513279
-112.407551,89,10005.148092
-117.473686,77,10015.869639
-115.551533,161,10034.126604
-115.025211,54,10039.284842
-114.938989,50,10047.860394
-113.467449,42,10051.511192
-113.422097,107,10065.468565
-115.382618,82,10072.873185
-112.508387,144,10093.582137
-114.975199,61,10099.416214
-116.662137,94,10112.148719
-113.031128,63,10117.60507
-22.29832,620,10210.124473
-92.621735,93,10218.577634
-126.589111,153,10232.217717
-57.049304,376,10306.494463
-52.312698,436,10387.734011
