#{"t_start": 1764220086.5501375, "env_id": "HalfCheetah-v3"}
r,l,t
-409.066642,1000,11.106954
-367.51947,1000,17.209241
-360.534875,1000,24.890011
-352.553133,1000,30.512301
-369.934329,1000,38.609839
-429.413871,1000,45.104173
-281.950558,1000,53.586448
-398.775726,1000,60.030992
-328.751101,1000,68.178197
-338.411313,1000,74.502929
-214.040109,1000,94.026722
-370.819768,1000,100.356521
-438.641423,1000,108.394675
-467.854454,1000,114.392074
-372.523588,1000,122.369442
-336.874338,1000,128.628429
-437.836776,1000,136.942401
-438.953055,1000,143.350545
-314.636602,1000,151.492152
-379.205384,1000,157.693466
-286.159067,1000,176.865836
-392.037018,1000,183.352912
-382.345159,1000,191.722891
-422.638175,1000,197.88967
-250.372673,1000,205.62783
-458.815564,1000,211.575128
-327.732406,1000,219.264609
-431.852653,1000,225.30826
-329.829157,1000,233.221686
-385.928945,1000,239.427231
-340.840139,1000,257.506827
-363.729692,1000,263.679611
-403.13353,1000,269.687676
-344.35883,1000,277.692186
-555.713456,1000,283.547269
-466.836394,1000,291.272591
-416.207789,1000,297.27075
-433.234065,1000,305.091881
-354.982738,1000,311.331065
-440.088935,1000,319.680168
-394.538057,1000,337.231255
-313.170302,1000,345.758991
-375.447945,1000,352.335941
-396.367433,1000,360.727219
-413.485864,1000,367.201893
-302.842144,1000,374.9358
-381.071304,1000,380.904268
-482.162889,1000,388.601528
-337.080031,1000,394.577534
-305.385927,1000,402.548386
-364.295055,1000,419.063886
-411.480738,1000,426.854375
-392.974592,1000,432.806902
-272.141797,1000,440.542304
-376.065434,1000,446.771014
-319.934078,1000,454.695497
-444.380156,1000,460.629943
-278.712611,1000,468.447544
-347.254892,1000,474.473041
-379.126857,1000,480.534926
-401.669069,1000,499.575092
-341.844303,1000,506.133913
-281.774217,1000,514.894749
-378.055104,1000,521.295112
-332.292356,1000,529.525078
-305.794414,1000,535.689313
-364.671879,1000,543.792958
-372.571287,1000,550.007515
-293.383155,1000,558.732261
-282.459065,1000,564.981969
-409.330853,1000,582.954395
-315.345106,1000,589.167941
-266.087281,1000,597.56834
-275.85088,1000,603.731878
-370.600567,1000,611.666842
-303.847304,1000,617.556486
-258.044266,1000,625.413401
-294.769685,1000,631.521581
-332.791148,1000,639.622838
-249.913066,1000,645.892156
-308.582238,1000,663.926384
-325.933753,1000,670.311631
-174.665087,1000,678.885718
-293.564316,1000,685.304074
-402.656561,1000,693.527331
-254.485568,1000,699.519559
-225.179075,1000,705.585812
-193.504722,1000,713.614078
-245.557,1000,719.649383
-319.579711,1000,727.904199
-404.056155,1000,734.378878
-229.684339,1000,754.11448
-312.226411,1000,760.594319
-236.79004,1000,769.186701
-263.296731,1000,775.215948
-229.411725,1000,783.32438
-277.712077,1000,789.535557
