#{"t_start": 1764158185.8062744, "env_id": "HalfCheetah-v3"}
r,l,t
-286.935913,1000,3.947241
-330.186354,1000,5.495736
-344.495972,1000,8.139086
-401.022972,1000,9.788975
-305.62427,1000,12.279213
-237.584792,1000,13.877266
-325.612135,1000,16.436905
-298.554617,1000,18.041219
-276.099607,1000,20.522254
-270.528318,1000,22.154102
-276.941484,1000,29.848274
-347.505519,1000,31.495843
-533.674476,1000,34.161558
-322.14039,1000,35.83446
-274.480456,1000,38.348022
-324.047687,1000,39.936319
-240.027184,1000,42.511666
-341.17394,1000,44.068013
-226.608084,1000,46.729909
-293.603244,1000,48.37035
-372.075027,1000,56.068159
-206.32859,1000,57.637654
-275.286874,1000,60.17689
-360.395855,1000,61.827261
-183.088158,1000,64.330083
-340.563564,1000,65.933802
-303.01154,1000,68.465207
-249.448235,1000,70.049961
-223.367926,1000,72.688536
-279.61928,1000,74.317607
-316.322998,1000,82.025111
-331.338727,1000,83.666368
-172.10791,1000,86.174686
-231.659109,1000,87.786648
-284.011181,1000,90.227446
-235.934002,1000,91.903485
-174.248325,1000,94.525283
-321.009778,1000,96.137995
-274.788984,1000,99.502282
-232.07566,1000,101.772951
-259.083403,1000,109.428525
-256.712767,1000,110.95809
-185.083462,1000,112.623454
-191.077868,1000,115.192414
-286.38293,1000,116.654326
-254.925554,1000,119.22888
-174.488304,1000,120.710075
-122.496073,1000,123.289706
-263.900245,1000,124.762351
-198.08846,1000,127.284287
-216.087619,1000,133.911045
-178.287249,1000,136.496363
-146.040483,1000,137.98793
-237.177868,1000,140.535812
-185.674487,1000,142.226378
-166.901156,1000,144.644929
-229.200755,1000,146.364053
-163.104138,1000,148.768174
-221.381837,1000,150.255958
-122.38746,1000,152.571623
-168.543868,1000,159.407676
-204.419173,1000,162.127227
-218.954473,1000,163.614329
-39.37829,1000,166.337839
-113.253141,1000,167.831399
-163.527316,1000,170.394569
-143.351834,1000,171.894236
-209.540145,1000,174.471257
-207.152302,1000,176.154354
-187.060239,1000,178.795682
-117.669759,1000,185.589512
-87.741927,1000,188.135533
-126.938724,1000,189.746114
-134.083398,1000,192.363962
-127.625329,1000,193.992253
-30.17897,1000,196.741699
-106.777981,1000,198.340327
-137.658025,1000,200.891904
-88.969872,1000,202.539187
-81.702948,1000,205.182211
-144.918363,1000,211.974127
-91.123758,1000,214.486975
-111.118978,1000,216.108425
-62.546688,1000,218.690848
-84.947922,1000,220.280184
-82.390692,1000,221.919569
-71.339687,1000,224.474876
-88.10803,1000,226.138055
-27.124471,1000,228.772229
-21.744367,1000,230.430269
-115.104598,1000,238.18522
-69.780738,1000,239.79747
-73.34386,1000,242.436399
-23.968639,1000,244.091547
51.330527,1000,246.645805
35.206107,1000,248.263739
22.846516,1000,250.754298
34.854121,1000,252.338883
24.106578,1000,254.935027
86.764134,1000,256.555088
62.355098,1000,264.312438
110.489792,1000,265.929757
32.205838,1000,268.440444
73.626478,1000,270.084395
82.939603,1000,272.675481
144.831539,1000,274.248105
118.26672,1000,276.936849
70.90498,1000,278.564164
167.076829,1000,281.117518
127.754764,1000,282.770781
165.920206,1000,290.635082
108.188476,1000,292.235971
194.709867,1000,294.846738
116.791451,1000,296.434242
217.496378,1000,299.054529
247.232792,1000,300.672493
180.297941,1000,303.147037
265.209375,1000,304.733333
210.517025,1000,307.402755
269.819362,1000,309.06129
328.572132,1000,316.834948
327.819564,1000,318.481324
358.845734,1000,320.991376
336.802868,1000,322.579192
396.238558,1000,325.174388
436.795725,1000,326.76908
270.760021,1000,329.409208
314.723982,1000,330.981385
317.930544,1000,332.633893
457.039514,1000,335.224934
423.212783,1000,342.094478
388.143855,1000,344.6677
336.179699,1000,346.352084
389.366224,1000,348.875588
468.833758,1000,350.55076
415.193173,1000,353.122941
457.071677,1000,354.730592
464.578746,1000,357.299163
374.587061,1000,358.936774
527.283747,1000,361.512611
442.544754,1000,368.324305
410.395428,1000,370.933775
436.181518,1000,372.564805
456.492707,1000,375.014471
520.56037,1000,376.635139
518.415505,1000,379.316801
561.958221,1000,380.964317
559.27341,1000,383.569848
481.529155,1000,385.204845
511.674427,1000,387.875188
554.31186,1000,394.592757
482.982104,1000,397.192447
507.603399,1000,398.813345
459.773472,1000,401.425316
497.14135,1000,403.794486
603.180686,1000,407.301725
489.694357,1000,408.809113
572.209281,1000,411.170187
550.072419,1000,412.870761
603.13188,1000,415.389556
552.242202,1000,422.078602
531.83068,1000,424.752189
517.693063,1000,426.490475
646.911221,1000,428.936012
497.773879,1000,430.387008
630.434491,1000,432.625405
642.145604,1000,434.162558
